# bin_low_uJy bin_high_uJy bin_median_uJy Ns_tot_obs dnds_srm1Jym1 dnds_eucl_srm1Jy1p5 delta_dnds_eucl_lower_srm1Jy1p5 delta_dnds_eucl_upper_srm1Jy1p5 corr Ncgts_degm2 dNcgts_lower_degm2 dNcgts_upper_degm2
-1056.000000 -750.000000 -903.000000 4 5.486229e+03 nan nan nan 1.000000 2 1 1
-750.000000 -500.000000 -625.000000 13 2.188436e+04 nan nan nan 1.000000 2 1 1
-500.000000 -400.000000 -450.000000 55 1.677689e+05 nan nan nan 1.000000 2 1 1
-400.000000 -350.000000 -375.000000 72 4.392495e+05 nan nan nan 1.000000 2 1 1
-350.000000 -300.000000 -325.000000 133 1.014239e+06 nan nan nan 1.000000 2 1 1
-300.000000 -250.000000 -275.000000 310 2.364016e+06 nan nan nan 1.000000 2 1 1
-250.000000 -200.000000 -225.000000 543 4.600935e+06 nan nan nan 1.000000 2 1 1
-200.000000 -170.000000 -185.000000 442 5.185584e+06 nan nan nan 1.000000 2 1 1
-170.000000 -150.000000 -160.000000 395 6.693809e+06 nan nan nan 1.000000 2 1 1
-150.000000 -130.000000 -140.000000 464 9.435729e+06 nan nan nan 1.000000 2 1 1
-130.000000 -115.000000 -122.500000 419 9.831492e+06 nan nan nan 1.000000 2 1 1
-115.000000 -100.000000 -107.500000 430 1.093040e+07 nan nan nan 1.000000 2 1 1
-100.000000 -85.000000 -92.500000 429 1.090498e+07 nan nan nan 1.000000 2 1 1
-85.000000 -70.000000 -77.500000 522 1.447527e+07 nan nan nan 1.000000 2 1 1
-70.000000 -60.000000 -65.000000 372 1.260809e+07 nan nan nan 1.000000 2 1 1
-60.000000 -50.000000 -55.000000 376 1.433661e+07 nan nan nan 1.000000 1 1 1
-50.000000 -40.000000 -45.000000 419 1.597617e+07 nan nan nan 1.000000 1 1 1
-40.000000 -30.000000 -35.000000 410 1.250641e+07 nan nan nan 1.000000 1 1 1
-30.000000 -10.000000 -20.000000 828 2.122424e+07 nan nan nan 1.000000 1 1 1
-10.000000 -0.500000 -5.250000 466 1.776825e+07 nan nan nan 1.000000 1 1 1
-0.500000 0.500000 0.000000 52 3.776616e+06 0.000000e+00 0.000000e+00 0.000000e+00 1.000000 1 1 1
0.500000 10.000000 5.250000 389 1.977639e+07 1.248951e-06 6.332432e-08 6.332432e-08 1.000000 1 1 1
10.000000 20.000000 15.000000 444 1.714370e+07 1.493939e-05 7.089919e-07 7.089919e-07 1.000000 1 1 1
20.000000 30.000000 25.000000 446 1.700566e+07 5.314270e-05 2.516380e-06 2.516380e-06 1.000000 1 1 1
30.000000 40.000000 35.000000 431 1.643373e+07 1.190985e-04 5.736771e-06 5.736771e-06 1.000000 1 1 1
40.000000 50.000000 45.000000 448 1.708192e+07 2.320428e-04 1.096299e-05 1.096299e-05 1.000000 1 1 1
50.000000 60.000000 55.000000 479 1.826393e+07 4.097330e-04 1.872118e-05 1.872118e-05 1.000000 1 1 1
60.000000 70.000000 65.000000 450 1.715818e+07 5.844598e-04 2.755170e-05 2.755170e-05 1.000000 1 1 1
70.000000 80.000000 75.000000 418 1.593804e+07 7.764048e-04 3.797520e-05 3.797520e-05 1.000000 1 1 1
80.000000 90.000000 85.000000 412 1.570927e+07 1.046413e-03 5.155309e-05 5.155309e-05 1.000000 1 1 1
90.000000 100.000000 95.000000 380 1.448913e+07 1.274534e-03 6.538221e-05 6.538221e-05 1.000000 1 1 1
100.000000 110.000000 105.000000 381 1.452726e+07 1.641183e-03 8.408035e-05 8.408035e-05 1.000000 1 1 1
110.000000 120.000000 115.000000 386 1.308258e+07 1.855403e-03 9.443750e-05 9.443750e-05 1.000000 1 1 1
120.000000 135.000000 127.500000 560 1.552902e+07 2.850490e-03 1.204552e-04 1.204552e-04 1.000000 1 1 1
135.000000 150.000000 142.500000 497 1.263351e+07 3.062394e-03 1.373671e-04 1.373671e-04 1.000000 1 1 1
150.000000 165.000000 157.500000 463 1.176924e+07 3.663953e-03 1.702783e-04 1.702783e-04 1.000000 0 1 1
165.000000 180.000000 172.500000 422 1.072704e+07 4.192303e-03 2.040781e-04 2.040781e-04 1.000000 0 1 1
180.000000 195.000000 187.500000 396 1.006613e+07 4.845804e-03 2.435108e-04 2.435108e-04 1.000000 0 1 1
195.000000 210.000000 202.500000 356 9.049352e+06 5.280561e-03 2.798692e-04 2.798692e-04 1.000000 0 1 1
210.000000 225.000000 217.500000 278 7.066629e+06 4.930154e-03 2.956910e-04 2.956910e-04 1.000000 0 1 1
225.000000 240.000000 232.500000 238 5.584475e+06 4.602987e-03 2.983673e-04 2.983673e-04 1.000000 0 0 0
240.000000 260.000000 250.000000 322 6.548071e+06 6.470881e-03 3.606081e-04 3.606081e-04 1.000000 0 0 0
260.000000 280.000000 270.000000 242 4.613645e+06 5.526543e-03 3.552596e-04 3.552596e-04 1.000000 0 0 0
280.000000 300.000000 290.000000 216 3.660412e+06 5.242338e-03 3.566959e-04 3.566959e-04 1.000000 0 0 0
300.000000 330.000000 315.000000 237 3.286052e+06 5.786964e-03 3.759037e-04 3.759037e-04 1.000000 0 0 0
330.000000 360.000000 345.000000 202 2.369882e+06 5.239315e-03 3.686369e-04 3.686369e-04 1.000000 0 0 0
360.000000 400.000000 380.000000 178 1.696754e+06 4.776148e-03 3.579874e-04 3.579874e-04 1.000000 0 0 0
400.000000 450.000000 425.000000 131 1.051566e+06 3.915694e-03 3.421158e-04 3.421158e-04 1.000000 0 0 0
450.000000 500.000000 475.000000 75 4.575515e+05 2.249956e-03 2.598025e-04 2.598025e-04 1.000000 0 0 0
500.000000 600.000000 550.000000 76 3.863768e+05 2.741055e-03 3.144206e-04 3.144206e-04 1.000000 0 0 0
600.000000 650.000000 625.000000 30 1.830206e+05 1.787311e-03 3.263168e-04 3.263168e-04 1.000000 0 0 0
650.000000 700.000000 675.000000 28 2.135240e+05 2.527588e-03 4.776692e-04 4.776692e-04 1.000000 0 0 0
700.000000 750.000000 725.000000 26 1.982723e+05 2.806126e-03 5.503265e-04 5.503265e-04 1.000000 0 0 0
