# bin_low_uJy bin_high_uJy bin_median_uJy Ns_tot_obs dnds_srm1Jym1 dnds_eucl_srm1Jy1p5 delta_dnds_eucl_lower_srm1Jy1p5 delta_dnds_eucl_upper_srm1Jy1p5 corr Ncgts_degm2 dNcgts_lower_degm2 dNcgts_upper_degm2
-1056.000000 -750.000000 -903.000000 2 2.743115e+03 nan nan nan 1.000000 2 2 2
-750.000000 -500.000000 -625.000000 18 3.030143e+04 nan nan nan 1.000000 2 2 2
-500.000000 -400.000000 -450.000000 50 1.525172e+05 nan nan nan 1.000000 2 2 2
-400.000000 -350.000000 -375.000000 86 5.246591e+05 nan nan nan 1.000000 2 2 2
-350.000000 -300.000000 -325.000000 205 1.563301e+06 nan nan nan 1.000000 2 2 2
-300.000000 -250.000000 -275.000000 417 3.179983e+06 nan nan nan 1.000000 2 2 2
-250.000000 -200.000000 -225.000000 660 5.592296e+06 nan nan nan 1.000000 2 2 2
-200.000000 -170.000000 -185.000000 578 6.781148e+06 nan nan nan 1.000000 2 1 1
-170.000000 -150.000000 -160.000000 505 8.557908e+06 nan nan nan 1.000000 2 1 1
-150.000000 -130.000000 -140.000000 605 1.230305e+07 nan nan nan 1.000000 2 1 1
-130.000000 -115.000000 -122.500000 515 1.208405e+07 nan nan nan 1.000000 2 1 1
-115.000000 -100.000000 -107.500000 592 1.504836e+07 nan nan nan 1.000000 2 1 1
-100.000000 -85.000000 -92.500000 651 1.654811e+07 nan nan nan 1.000000 2 1 1
-85.000000 -70.000000 -77.500000 689 1.910624e+07 nan nan nan 1.000000 2 1 1
-70.000000 -60.000000 -65.000000 434 1.470943e+07 nan nan nan 1.000000 2 1 1
-60.000000 -50.000000 -55.000000 485 1.849271e+07 nan nan nan 1.000000 2 1 1
-50.000000 -40.000000 -45.000000 513 1.956033e+07 nan nan nan 1.000000 2 1 1
-40.000000 -30.000000 -35.000000 489 1.491618e+07 nan nan nan 1.000000 2 1 1
-30.000000 -10.000000 -20.000000 1060 2.717113e+07 nan nan nan 1.000000 2 1 1
-10.000000 -0.500000 -5.250000 572 2.180996e+07 nan nan nan 1.000000 1 1 1
-0.500000 0.500000 0.000000 52 3.776616e+06 0.000000e+00 0.000000e+00 0.000000e+00 1.000000 1 1 1
0.500000 10.000000 5.250000 477 2.425023e+07 1.531490e-06 7.012210e-08 7.012210e-08 1.000000 1 1 1
10.000000 20.000000 15.000000 568 2.193158e+07 1.911165e-05 8.019069e-07 8.019069e-07 1.000000 1 1 1
20.000000 30.000000 25.000000 563 2.146679e+07 6.708373e-05 2.827242e-06 2.827242e-06 1.000000 1 1 1
30.000000 40.000000 35.000000 575 2.192434e+07 1.588901e-04 6.626173e-06 6.626173e-06 1.000000 1 1 1
40.000000 50.000000 45.000000 526 2.005601e+07 2.724431e-04 1.187908e-05 1.187908e-05 1.000000 1 1 1
50.000000 60.000000 55.000000 513 1.956033e+07 4.388164e-04 1.937422e-05 1.937422e-05 1.000000 1 1 1
60.000000 70.000000 65.000000 558 2.127615e+07 7.247302e-04 3.068028e-05 3.068028e-05 1.000000 1 1 1
70.000000 80.000000 75.000000 482 1.837832e+07 8.952802e-04 4.077889e-05 4.077889e-05 1.000000 1 1 1
80.000000 90.000000 85.000000 498 1.898839e+07 1.264839e-03 5.667881e-05 5.667881e-05 1.000000 1 1 1
90.000000 100.000000 95.000000 474 1.807329e+07 1.589813e-03 7.302254e-05 7.302254e-05 1.000000 1 1 1
100.000000 110.000000 105.000000 470 1.792077e+07 2.024556e-03 9.338582e-05 9.338582e-05 1.000000 1 1 1
110.000000 120.000000 115.000000 428 1.450608e+07 2.057286e-03 9.944266e-05 9.944266e-05 1.000000 1 1 1
120.000000 135.000000 127.500000 675 1.871802e+07 3.435859e-03 1.322463e-04 1.322463e-04 1.000000 1 1 1
