# bin_low_uJy bin_high_uJy bin_median_uJy Ns_tot_obs dnds_srm1Jym1 dnds_eucl_srm1Jy1p5 delta_dnds_eucl_lower_srm1Jy1p5 delta_dnds_eucl_upper_srm1Jy1p5 corr Ncgts_degm2 dNcgts_lower_degm2 dNcgts_upper_degm2
-1056.000000 -750.000000 -903.000000 5 6.857787e+03 nan nan nan 1.000000 4 2 2
-750.000000 -500.000000 -625.000000 17 2.861801e+04 nan nan nan 1.000000 4 2 2
-500.000000 -400.000000 -450.000000 114 3.477392e+05 nan nan nan 1.000000 4 2 2
-400.000000 -350.000000 -375.000000 162 9.883113e+05 nan nan nan 1.000000 4 2 2
-350.000000 -300.000000 -325.000000 309 2.356390e+06 nan nan nan 1.000000 4 2 2
-300.000000 -250.000000 -275.000000 649 4.949182e+06 nan nan nan 1.000000 4 2 2
-250.000000 -200.000000 -225.000000 1220 1.033728e+07 nan nan nan 1.000000 4 2 2
-200.000000 -170.000000 -185.000000 1118 1.311648e+07 nan nan nan 1.000000 4 2 2
-170.000000 -150.000000 -160.000000 909 1.540423e+07 nan nan nan 1.000000 4 2 2
-150.000000 -130.000000 -140.000000 1079 2.194214e+07 nan nan nan 1.000000 4 2 2
-130.000000 -115.000000 -122.500000 886 2.078926e+07 nan nan nan 1.000000 4 2 2
-115.000000 -100.000000 -107.500000 978 2.486030e+07 nan nan nan 1.000000 3 2 2
-100.000000 -85.000000 -92.500000 1071 2.722432e+07 nan nan nan 1.000000 3 2 2
-85.000000 -70.000000 -77.500000 1175 3.258321e+07 nan nan nan 1.000000 3 2 2
-70.000000 -60.000000 -65.000000 820 2.779202e+07 nan nan nan 1.000000 3 2 2
-60.000000 -50.000000 -55.000000 842 3.210487e+07 nan nan nan 1.000000 3 2 2
-50.000000 -40.000000 -45.000000 878 3.347752e+07 nan nan nan 1.000000 3 2 2
-40.000000 -30.000000 -35.000000 888 2.708705e+07 nan nan nan 1.000000 3 2 2
-30.000000 -10.000000 -20.000000 1910 4.895929e+07 nan nan nan 1.000000 3 2 2
-10.000000 -0.500000 -5.250000 929 3.542211e+07 nan nan nan 1.000000 2 2 2
-0.500000 0.500000 0.000000 108 7.843740e+06 0.000000e+00 0.000000e+00 0.000000e+00 1.000000 2 2 2
0.500000 10.000000 5.250000 865 4.397579e+07 2.777230e-06 9.442866e-08 9.442866e-08 1.000000 2 2 2
10.000000 20.000000 15.000000 941 3.633384e+07 3.166208e-05 1.032154e-06 1.032154e-06 1.000000 2 1 1
20.000000 30.000000 25.000000 964 3.675664e+07 1.148645e-04 3.699536e-06 3.699536e-06 1.000000 2 1 1
30.000000 40.000000 35.000000 969 3.694729e+07 2.677643e-04 8.601828e-06 8.601828e-06 1.000000 2 1 1
40.000000 50.000000 45.000000 936 3.568902e+07 4.848037e-04 1.584630e-05 1.584630e-05 1.000000 2 1 1
50.000000 60.000000 55.000000 913 3.481205e+07 7.809734e-04 2.584645e-05 2.584645e-05 1.000000 2 1 1
60.000000 70.000000 65.000000 933 3.557463e+07 1.211780e-03 3.967190e-05 3.967190e-05 1.000000 2 1 1
70.000000 80.000000 75.000000 864 3.294371e+07 1.604818e-03 5.459700e-05 5.459700e-05 1.000000 2 1 1
80.000000 90.000000 85.000000 806 3.073221e+07 2.047110e-03 7.210636e-05 7.210636e-05 1.000000 1 1 1
90.000000 100.000000 95.000000 812 3.096099e+07 2.723478e-03 9.557533e-05 9.557533e-05 1.000000 1 1 1
100.000000 110.000000 105.000000 773 2.947394e+07 3.329749e-03 1.197627e-04 1.197627e-04 1.000000 1 1 1
110.000000 120.000000 115.000000 764 2.589403e+07 3.672351e-03 1.328610e-04 1.328610e-04 1.000000 1 1 1
120.000000 135.000000 127.500000 1050 2.911692e+07 5.344669e-03 1.649401e-04 1.649401e-04 1.000000 1 1 1
135.000000 150.000000 142.500000 957 2.432649e+07 5.896803e-03 1.906166e-04 1.906166e-04 1.000000 1 1 1
150.000000 165.000000 157.500000 938 2.384352e+07 7.422868e-03 2.423652e-04 2.423652e-04 1.000000 1 1 1
165.000000 180.000000 172.500000 789 2.005601e+07 7.838216e-03 2.790479e-04 2.790479e-04 1.000000 1 1 1
180.000000 195.000000 187.500000 747 1.898839e+07 9.140949e-03 3.344498e-04 3.344498e-04 1.000000 1 1 1
195.000000 210.000000 202.500000 657 1.670063e+07 9.745305e-03 3.802006e-04 3.802006e-04 1.000000 1 1 1
