# bin_low_uJy bin_high_uJy bin_median_uJy Ns_tot_obs dnds_srm1Jym1 dnds_eucl_srm1Jy1p5 delta_dnds_eucl_lower_srm1Jy1p5 delta_dnds_eucl_upper_srm1Jy1p5 corr Ncgts_degm2 dNcgts_lower_degm2 dNcgts_upper_degm2
-1056.000000 -750.000000 -903.000000 10 1.371557e+04 nan nan nan 1.000000 7 3 3
-750.000000 -500.000000 -625.000000 52 8.753745e+04 nan nan nan 1.000000 7 3 3
-500.000000 -400.000000 -450.000000 167 5.094074e+05 nan nan nan 1.000000 7 3 3
-400.000000 -350.000000 -375.000000 248 1.512970e+06 nan nan nan 1.000000 7 3 3
-350.000000 -300.000000 -325.000000 548 4.178971e+06 nan nan nan 1.000000 7 3 3
-300.000000 -250.000000 -275.000000 1099 8.380819e+06 nan nan nan 1.000000 7 3 3
-250.000000 -200.000000 -225.000000 1940 1.643796e+07 nan nan nan 1.000000 7 3 3
-200.000000 -170.000000 -185.000000 1833 2.150492e+07 nan nan nan 1.000000 6 3 3
-170.000000 -150.000000 -160.000000 1539 2.608044e+07 nan nan nan 1.000000 6 2 2
-150.000000 -130.000000 -140.000000 1780 3.619741e+07 nan nan nan 1.000000 6 2 2
-130.000000 -115.000000 -122.500000 1461 3.428117e+07 nan nan nan 1.000000 6 2 2
-115.000000 -100.000000 -107.500000 1639 4.166261e+07 nan nan nan 1.000000 6 2 2
-100.000000 -85.000000 -92.500000 1791 4.552638e+07 nan nan nan 1.000000 5 2 2
-85.000000 -70.000000 -77.500000 1904 5.279867e+07 nan nan nan 1.000000 5 2 2
-70.000000 -60.000000 -65.000000 1311 4.443334e+07 nan nan nan 1.000000 5 2 2
-60.000000 -50.000000 -55.000000 1360 5.185584e+07 nan nan nan 1.000000 5 2 2
-50.000000 -40.000000 -45.000000 1427 5.441050e+07 nan nan nan 1.000000 5 2 2
-40.000000 -30.000000 -35.000000 1448 4.416897e+07 nan nan nan 1.000000 5 2 2
-30.000000 -10.000000 -20.000000 3151 8.077002e+07 nan nan nan 1.000000 4 2 2
-10.000000 -0.500000 -5.250000 1597 6.089248e+07 nan nan nan 1.000000 4 2 2
-0.500000 0.500000 0.000000 127 9.223658e+06 0.000000e+00 0.000000e+00 0.000000e+00 1.000000 4 2 2
0.500000 10.000000 5.250000 1433 7.285237e+07 4.600891e-06 1.215399e-07 1.215399e-07 1.000000 4 2 2
10.000000 20.000000 15.000000 1584 6.116132e+07 5.329727e-05 1.339144e-06 1.339144e-06 1.000000 4 2 2
20.000000 30.000000 25.000000 1512 5.765149e+07 1.801609e-04 4.633239e-06 4.633239e-06 1.000000 3 2 2
30.000000 40.000000 35.000000 1549 5.906228e+07 4.280360e-04 1.087563e-05 1.087563e-05 1.000000 3 2 2
40.000000 50.000000 45.000000 1575 6.005364e+07 8.157754e-04 2.055561e-05 2.055561e-05 1.000000 3 2 2
50.000000 60.000000 55.000000 1546 5.894789e+07 1.322437e-03 3.363336e-05 3.363336e-05 1.000000 3 2 2
60.000000 70.000000 65.000000 1429 5.448676e+07 1.855985e-03 4.909737e-05 4.909737e-05 1.000000 3 2 2
70.000000 80.000000 75.000000 1435 5.471554e+07 2.665409e-03 7.036195e-05 7.036195e-05 1.000000 3 2 2
80.000000 90.000000 85.000000 1421 5.418173e+07 3.609110e-03 9.574214e-05 9.574214e-05 1.000000 2 2 2
90.000000 100.000000 95.000000 1392 5.307598e+07 4.668819e-03 1.251375e-04 1.251375e-04 1.000000 2 1 1
100.000000 110.000000 105.000000 1276 4.865298e+07 5.496455e-03 1.538712e-04 1.538712e-04 1.000000 2 1 1
110.000000 120.000000 115.000000 1264 4.284038e+07 6.075722e-03 1.708930e-04 1.708930e-04 1.000000 2 1 1
120.000000 135.000000 127.500000 1788 4.958195e+07 9.101208e-03 2.152362e-04 2.152362e-04 1.000000 2 1 1
135.000000 150.000000 142.500000 1627 4.135757e+07 1.002518e-02 2.485412e-04 2.485412e-04 1.000000 2 1 1
150.000000 165.000000 157.500000 1491 3.790052e+07 1.179904e-02 3.055679e-04 3.055679e-04 1.000000 1 1 1
165.000000 180.000000 172.500000 1341 3.408759e+07 1.332199e-02 3.637933e-04 3.637933e-04 1.000000 1 1 1
180.000000 195.000000 187.500000 1217 3.093557e+07 1.489228e-02 4.268900e-04 4.268900e-04 1.000000 1 1 1
195.000000 210.000000 202.500000 1038 2.638547e+07 1.539669e-02 4.778909e-04 4.778909e-04 1.000000 1 1 1
210.000000 225.000000 217.500000 992 2.521617e+07 1.759249e-02 5.585621e-04 5.585621e-04 1.000000 1 1 1
225.000000 240.000000 232.500000 835 1.959259e+07 1.614913e-02 5.588639e-04 5.588639e-04 1.000000 1 1 1
240.000000 260.000000 250.000000 936 1.903414e+07 1.880976e-02 6.148164e-04 6.148164e-04 1.000000 1 1 1
260.000000 280.000000 270.000000 794 1.513733e+07 1.813254e-02 6.434998e-04 6.434998e-04 1.000000 0 1 1
280.000000 300.000000 290.000000 615 1.042201e+07 1.492610e-02 6.018784e-04 6.018784e-04 1.000000 0 1 1
300.000000 330.000000 315.000000 691 9.580852e+06 1.687254e-02 6.418617e-04 6.418617e-04 1.000000 0 1 1
330.000000 360.000000 345.000000 485 5.690064e+06 1.257954e-02 5.712076e-04 5.712076e-04 1.000000 0 0 0
360.000000 400.000000 380.000000 408 3.889188e+06 1.094757e-02 5.419857e-04 5.419857e-04 1.000000 0 0 0
400.000000 450.000000 425.000000 301 2.416193e+06 8.997129e-03 5.185859e-04 5.185859e-04 1.000000 0 0 0
450.000000 500.000000 475.000000 178 1.085922e+06 5.339896e-03 4.002421e-04 4.002421e-04 1.000000 0 0 0
500.000000 600.000000 550.000000 140 7.117468e+05 5.049313e-03 4.267448e-04 4.267448e-04 1.000000 0 0 0
600.000000 650.000000 625.000000 51 3.111350e+05 3.038428e-03 4.254650e-04 4.254650e-04 1.000000 0 0 0
650.000000 700.000000 675.000000 41 3.126602e+05 3.701110e-03 5.780163e-04 5.780163e-04 1.000000 0 0 0
700.000000 750.000000 725.000000 37 2.821568e+05 3.993333e-03 6.564999e-04 6.564999e-04 1.000000 0 0 0
