# bin_low_uJy bin_high_uJy bin_median_uJy Ns_tot_obs dnds_srm1Jym1 dnds_eucl_srm1Jy1p5 delta_dnds_eucl_lower_srm1Jy1p5 delta_dnds_eucl_upper_srm1Jy1p5 corr Ncgts_degm2 dNcgts_lower_degm2 dNcgts_upper_degm2
-1056.000000 -750.000000 -903.000000 4 5.486229e+03 nan nan nan 1.000000 2 1 1
-750.000000 -500.000000 -625.000000 21 3.535166e+04 nan nan nan 1.000000 2 1 1
-500.000000 -400.000000 -450.000000 31 9.456065e+04 nan nan nan 1.000000 2 1 1
-400.000000 -350.000000 -375.000000 56 3.416385e+05 nan nan nan 1.000000 2 1 1
-350.000000 -300.000000 -325.000000 119 9.074772e+05 nan nan nan 1.000000 2 1 1
-300.000000 -250.000000 -275.000000 207 1.578553e+06 nan nan nan 1.000000 2 1 1
-250.000000 -200.000000 -225.000000 396 3.355378e+06 nan nan nan 1.000000 2 1 1
-200.000000 -170.000000 -185.000000 377 4.422998e+06 nan nan nan 1.000000 1 1 1
-170.000000 -150.000000 -160.000000 328 5.558404e+06 nan nan nan 1.000000 1 1 1
-150.000000 -130.000000 -140.000000 409 8.317270e+06 nan nan nan 1.000000 1 1 1
-130.000000 -115.000000 -122.500000 305 7.156575e+06 nan nan nan 1.000000 1 1 1
-115.000000 -100.000000 -107.500000 340 8.642640e+06 nan nan nan 1.000000 1 1 1
-100.000000 -85.000000 -92.500000 380 9.659421e+06 nan nan nan 1.000000 1 1 1
-85.000000 -70.000000 -77.500000 393 1.089805e+07 nan nan nan 1.000000 1 1 1
-70.000000 -60.000000 -65.000000 281 9.523850e+06 nan nan nan 1.000000 1 1 1
-60.000000 -50.000000 -55.000000 282 1.075246e+07 nan nan nan 1.000000 1 1 1
-50.000000 -40.000000 -45.000000 344 1.311648e+07 nan nan nan 1.000000 1 1 1
-40.000000 -30.000000 -35.000000 319 9.730596e+06 nan nan nan 1.000000 1 1 1
-30.000000 -10.000000 -20.000000 657 1.684097e+07 nan nan nan 1.000000 1 1 1
-10.000000 -0.500000 -5.250000 349 1.330712e+07 nan nan nan 1.000000 1 1 1
-0.500000 0.500000 0.000000 33 2.396698e+06 0.000000e+00 0.000000e+00 0.000000e+00 1.000000 1 1 1
0.500000 10.000000 5.250000 330 1.677689e+07 1.059521e-06 5.832473e-08 5.832473e-08 1.000000 1 1 1
10.000000 20.000000 15.000000 356 1.374585e+07 1.197843e-05 6.348554e-07 6.348554e-07 1.000000 1 1 1
20.000000 30.000000 25.000000 336 1.281144e+07 4.003576e-05 2.184130e-06 2.184130e-06 1.000000 1 1 1
30.000000 40.000000 35.000000 345 1.315461e+07 9.533403e-05 5.132612e-06 5.132612e-06 1.000000 1 1 1
40.000000 50.000000 45.000000 371 1.414597e+07 1.921604e-04 9.976472e-06 9.976472e-06 1.000000 1 1 1
50.000000 60.000000 55.000000 330 1.258267e+07 2.822796e-04 1.553898e-05 1.553898e-05 1.000000 1 1 1
60.000000 70.000000 65.000000 323 1.231576e+07 4.195123e-04 2.334229e-05 2.334229e-05 1.000000 1 1 1
70.000000 80.000000 75.000000 327 1.246828e+07 6.073789e-04 3.358813e-05 3.358813e-05 1.000000 1 1 1
80.000000 90.000000 85.000000 323 1.231576e+07 8.203678e-04 4.564648e-05 4.564648e-05 1.000000 1 1 1
90.000000 100.000000 95.000000 345 1.315461e+07 1.157143e-03 6.229846e-05 6.229846e-05 1.000000 1 1 1
100.000000 110.000000 105.000000 304 1.159131e+07 1.309500e-03 7.510499e-05 7.510499e-05 1.000000 1 1 1
110.000000 120.000000 115.000000 264 8.947674e+06 1.268980e-03 7.810032e-05 7.810032e-05 1.000000 0 1 1
120.000000 135.000000 127.500000 416 1.153584e+07 2.117507e-03 1.038193e-04 1.038193e-04 1.000000 0 1 1
135.000000 150.000000 142.500000 395 1.004071e+07 2.433895e-03 1.224625e-04 1.224625e-04 1.000000 0 1 1
150.000000 165.000000 157.500000 374 9.506904e+06 2.959651e-03 1.530399e-04 1.530399e-04 1.000000 0 1 1
