# bin_low_uJy bin_high_uJy bin_median_uJy Ns_tot_obs dnds_srm1Jym1 dnds_eucl_srm1Jy1p5 delta_dnds_eucl_lower_srm1Jy1p5 delta_dnds_eucl_upper_srm1Jy1p5 corr Ncgts_degm2 dNcgts_lower_degm2 dNcgts_upper_degm2
-1056.000000 -750.000000 -903.000000 8 1.097246e+04 nan nan nan 1.000000 5 2 2
-750.000000 -500.000000 -625.000000 28 4.713555e+04 nan nan nan 1.000000 5 2 2
-500.000000 -400.000000 -450.000000 80 2.440275e+05 nan nan nan 1.000000 5 2 2
-400.000000 -350.000000 -375.000000 138 8.418948e+05 nan nan nan 1.000000 5 2 2
-350.000000 -300.000000 -325.000000 341 2.600418e+06 nan nan nan 1.000000 5 2 2
-300.000000 -250.000000 -275.000000 630 4.804291e+06 nan nan nan 1.000000 4 2 2
-250.000000 -200.000000 -225.000000 1167 9.888197e+06 nan nan nan 1.000000 4 2 2
-200.000000 -170.000000 -185.000000 1100 1.290530e+07 nan nan nan 1.000000 4 2 2
-170.000000 -150.000000 -160.000000 947 1.604820e+07 nan nan nan 1.000000 4 2 2
-150.000000 -130.000000 -140.000000 1094 2.224717e+07 nan nan nan 1.000000 4 2 2
-130.000000 -115.000000 -122.500000 904 2.121162e+07 nan nan nan 1.000000 4 2 2
-115.000000 -100.000000 -107.500000 1004 2.552121e+07 nan nan nan 1.000000 4 2 2
-100.000000 -85.000000 -92.500000 1107 2.813942e+07 nan nan nan 1.000000 4 2 2
-85.000000 -70.000000 -77.500000 1225 3.396973e+07 nan nan nan 1.000000 4 2 2
-70.000000 -60.000000 -65.000000 842 2.853766e+07 nan nan nan 1.000000 3 2 2
-60.000000 -50.000000 -55.000000 908 3.462140e+07 nan nan nan 1.000000 3 2 2
-50.000000 -40.000000 -45.000000 970 3.698541e+07 nan nan nan 1.000000 3 2 2
-40.000000 -30.000000 -35.000000 956 2.916128e+07 nan nan nan 1.000000 3 2 2
-30.000000 -10.000000 -20.000000 1943 4.980519e+07 nan nan nan 1.000000 3 2 2
-10.000000 -0.500000 -5.250000 941 3.587967e+07 nan nan nan 1.000000 3 2 2
-0.500000 0.500000 0.000000 103 7.480604e+06 0.000000e+00 0.000000e+00 0.000000e+00 1.000000 3 2 2
0.500000 10.000000 5.250000 928 4.717865e+07 2.979502e-06 9.780696e-08 9.780696e-08 1.000000 3 2 2
10.000000 20.000000 15.000000 1050 4.054254e+07 3.532963e-05 1.090296e-06 1.090296e-06 1.000000 3 2 2
20.000000 30.000000 25.000000 1014 3.866310e+07 1.208222e-04 3.794266e-06 3.794266e-06 1.000000 2 2 2
30.000000 40.000000 35.000000 994 3.790052e+07 2.746725e-04 8.712084e-06 8.712084e-06 1.000000 2 2 2
40.000000 50.000000 45.000000 1015 3.870123e+07 5.257219e-04 1.650149e-05 1.650149e-05 1.000000 2 1 1
50.000000 60.000000 55.000000 999 3.809116e+07 8.545372e-04 2.703636e-05 2.703636e-05 1.000000 2 1 1
60.000000 70.000000 65.000000 964 3.675664e+07 1.252043e-03 4.032558e-05 4.032558e-05 1.000000 2 1 1
70.000000 80.000000 75.000000 947 3.610844e+07 1.758984e-03 5.715930e-05 5.715930e-05 1.000000 2 1 1
80.000000 90.000000 85.000000 890 3.393507e+07 2.260456e-03 7.577066e-05 7.577066e-05 1.000000 2 1 1
90.000000 100.000000 95.000000 877 3.343939e+07 2.941490e-03 9.932706e-05 9.932706e-05 1.000000 2 1 1
100.000000 110.000000 105.000000 849 3.237177e+07 3.657124e-03 1.255122e-04 1.255122e-04 1.000000 1 1 1
110.000000 120.000000 115.000000 847 2.870712e+07 4.071311e-03 1.398919e-04 1.398919e-04 1.000000 1 1 1
120.000000 135.000000 127.500000 1168 3.238910e+07 5.945308e-03 1.739614e-04 1.739614e-04 1.000000 1 1 1
135.000000 150.000000 142.500000 1118 2.841903e+07 6.888846e-03 2.060277e-04 2.060277e-04 1.000000 1 1 1
150.000000 165.000000 157.500000 1043 2.651257e+07 8.253786e-03 2.555707e-04 2.555707e-04 1.000000 1 1 1
165.000000 180.000000 172.500000 965 2.452985e+07 9.586665e-03 3.086057e-04 3.086057e-04 1.000000 1 1 1
180.000000 195.000000 187.500000 895 2.275048e+07 1.095201e-02 3.660852e-04 3.660852e-04 1.000000 1 1 1
195.000000 210.000000 202.500000 734 1.865793e+07 1.088745e-02 4.018631e-04 4.018631e-04 1.000000 1 1 1
210.000000 225.000000 217.500000 704 1.789535e+07 1.248499e-02 4.705459e-04 4.705459e-04 1.000000 1 1 1
225.000000 240.000000 232.500000 597 1.400812e+07 1.154615e-02 4.725524e-04 4.725524e-04 1.000000 1 1 1
240.000000 260.000000 250.000000 669 1.360453e+07 1.344416e-02 5.197812e-04 5.197812e-04 1.000000 0 1 1
260.000000 280.000000 270.000000 585 1.115282e+07 1.335962e-02 5.523522e-04 5.523522e-04 1.000000 0 1 1
280.000000 300.000000 290.000000 531 8.998513e+06 1.288741e-02 5.592661e-04 5.592661e-04 1.000000 0 1 1
300.000000 330.000000 315.000000 586 8.125006e+06 1.430870e-02 5.910868e-04 5.910868e-04 1.000000 0 1 1
330.000000 360.000000 345.000000 380 4.458194e+06 9.856137e-03 5.056092e-04 5.056092e-04 1.000000 0 0 0
360.000000 400.000000 380.000000 381 3.631815e+06 1.022310e-02 5.237454e-04 5.237454e-04 1.000000 0 0 0
400.000000 450.000000 425.000000 289 2.319866e+06 8.638440e-03 5.081435e-04 5.081435e-04 1.000000 0 0 0
450.000000 500.000000 475.000000 177 1.079822e+06 5.309896e-03 3.991162e-04 3.991162e-04 1.000000 0 0 0
500.000000 600.000000 550.000000 201 1.021865e+06 7.249370e-03 5.113311e-04 5.113311e-04 1.000000 0 0 0
600.000000 650.000000 625.000000 76 4.636522e+05 4.527854e-03 5.193804e-04 5.193804e-04 1.000000 0 0 0
650.000000 700.000000 675.000000 54 4.117964e+05 4.874633e-03 6.633536e-04 6.633536e-04 1.000000 0 0 0
700.000000 750.000000 725.000000 55 4.194222e+05 5.936035e-03 8.004148e-04 8.004148e-04 1.000000 0 0 0
