# bin_low_uJy bin_high_uJy bin_median_uJy Ns_tot_obs dnds_srm1Jym1 dnds_eucl_srm1Jy1p5 delta_dnds_eucl_lower_srm1Jy1p5 delta_dnds_eucl_upper_srm1Jy1p5 corr Ncgts_degm2 dNcgts_lower_degm2 dNcgts_upper_degm2
-1056.000000 -750.000000 -903.000000 4 5.486229e+03 nan nan nan 1.000000 2 1 1
-750.000000 -500.000000 -625.000000 11 1.851754e+04 nan nan nan 1.000000 2 1 1
-500.000000 -400.000000 -450.000000 38 1.159131e+05 nan nan nan 1.000000 2 1 1
-400.000000 -350.000000 -375.000000 74 4.514508e+05 nan nan nan 1.000000 2 1 1
-350.000000 -300.000000 -325.000000 132 1.006613e+06 nan nan nan 1.000000 2 1 1
-300.000000 -250.000000 -275.000000 270 2.058982e+06 nan nan nan 1.000000 2 1 1
-250.000000 -200.000000 -225.000000 510 4.321320e+06 nan nan nan 1.000000 2 1 1
-200.000000 -170.000000 -185.000000 409 4.798425e+06 nan nan nan 1.000000 2 1 1
-170.000000 -150.000000 -160.000000 360 6.100687e+06 nan nan nan 1.000000 2 1 1
-150.000000 -130.000000 -140.000000 455 9.252709e+06 nan nan nan 1.000000 2 1 1
-130.000000 -115.000000 -122.500000 368 8.634818e+06 nan nan nan 1.000000 2 1 1
-115.000000 -100.000000 -107.500000 387 9.837358e+06 nan nan nan 1.000000 2 1 1
-100.000000 -85.000000 -92.500000 495 1.258267e+07 nan nan nan 1.000000 2 1 1
-85.000000 -70.000000 -77.500000 508 1.408704e+07 nan nan nan 1.000000 1 1 1
-70.000000 -60.000000 -65.000000 315 1.067620e+07 nan nan nan 1.000000 1 1 1
-60.000000 -50.000000 -55.000000 365 1.391719e+07 nan nan nan 1.000000 1 1 1
-50.000000 -40.000000 -45.000000 419 1.597617e+07 nan nan nan 1.000000 1 1 1
-40.000000 -30.000000 -35.000000 414 1.262842e+07 nan nan nan 1.000000 1 1 1
-30.000000 -10.000000 -20.000000 761 1.950682e+07 nan nan nan 1.000000 1 1 1
-10.000000 -0.500000 -5.250000 428 1.631934e+07 nan nan nan 1.000000 1 1 1
-0.500000 0.500000 0.000000 47 3.413480e+06 0.000000e+00 0.000000e+00 0.000000e+00 1.000000 1 1 1
0.500000 10.000000 5.250000 370 1.881045e+07 1.187948e-06 6.175848e-08 6.175848e-08 1.000000 1 1 1
10.000000 20.000000 15.000000 403 1.556061e+07 1.355985e-05 6.754642e-07 6.754642e-07 1.000000 1 1 1
20.000000 30.000000 25.000000 405 1.544236e+07 4.825739e-05 2.397929e-06 2.397929e-06 1.000000 1 1 1
30.000000 40.000000 35.000000 430 1.639560e+07 1.188221e-04 5.730112e-06 5.730112e-06 1.000000 1 1 1
40.000000 50.000000 45.000000 422 1.609056e+07 2.185760e-04 1.064011e-05 1.064011e-05 1.000000 1 1 1
50.000000 60.000000 55.000000 398 1.517546e+07 3.404463e-04 1.706503e-05 1.706503e-05 1.000000 1 1 1
60.000000 70.000000 65.000000 397 1.513733e+07 5.156234e-04 2.587840e-05 2.587840e-05 1.000000 1 1 1
70.000000 80.000000 75.000000 426 1.624308e+07 7.912642e-04 3.833688e-05 3.833688e-05 1.000000 1 1 1
80.000000 90.000000 85.000000 381 1.452726e+07 9.676784e-04 4.957567e-05 4.957567e-05 1.000000 1 1 1
90.000000 100.000000 95.000000 387 1.475604e+07 1.298012e-03 6.598166e-05 6.598166e-05 1.000000 1 1 1
100.000000 110.000000 105.000000 341 1.300209e+07 1.468880e-03 7.954432e-05 7.954432e-05 1.000000 1 1 1
110.000000 120.000000 115.000000 330 1.118459e+07 1.586225e-03 8.731881e-05 8.731881e-05 1.000000 1 1 1
120.000000 135.000000 127.500000 466 1.292236e+07 2.372015e-03 1.098815e-04 1.098815e-04 1.000000 1 1 1
135.000000 150.000000 142.500000 439 1.115917e+07 2.705012e-03 1.291032e-04 1.291032e-04 1.000000 0 1 1
150.000000 165.000000 157.500000 415 1.054910e+07 3.284105e-03 1.612104e-04 1.612104e-04 1.000000 0 1 1
165.000000 180.000000 172.500000 392 9.964455e+06 3.894272e-03 1.966905e-04 1.966905e-04 1.000000 0 1 1
180.000000 195.000000 187.500000 371 9.430645e+06 4.539882e-03 2.356989e-04 2.356989e-04 1.000000 0 1 1
195.000000 210.000000 202.500000 322 8.185088e+06 4.776238e-03 2.661693e-04 2.661693e-04 1.000000 0 1 1
210.000000 225.000000 217.500000 286 7.269985e+06 5.072029e-03 2.999153e-04 2.999153e-04 1.000000 0 0 0
225.000000 240.000000 232.500000 257 6.030294e+06 4.970452e-03 3.100483e-04 3.100483e-04 1.000000 0 0 0
240.000000 260.000000 250.000000 289 5.876995e+06 5.807716e-03 3.416303e-04 3.416303e-04 1.000000 0 0 0
260.000000 280.000000 270.000000 248 4.728032e+06 5.663565e-03 3.596367e-04 3.596367e-04 1.000000 0 0 0
280.000000 300.000000 290.000000 199 3.372324e+06 4.829746e-03 3.423716e-04 3.423716e-04 1.000000 0 0 0
300.000000 330.000000 315.000000 207 2.870096e+06 5.054437e-03 3.513077e-04 3.513077e-04 1.000000 0 0 0
330.000000 360.000000 345.000000 171 2.006187e+06 4.435262e-03 3.391729e-04 3.391729e-04 1.000000 0 0 0
360.000000 400.000000 380.000000 159 1.515639e+06 4.266334e-03 3.383423e-04 3.383423e-04 1.000000 0 0 0
400.000000 450.000000 425.000000 105 8.428581e+05 3.138534e-03 3.062895e-04 3.062895e-04 1.000000 0 0 0
450.000000 500.000000 475.000000 75 4.575515e+05 2.249956e-03 2.598025e-04 2.598025e-04 1.000000 0 0 0
500.000000 600.000000 550.000000 84 4.270481e+05 3.029588e-03 3.305551e-04 3.305551e-04 1.000000 0 0 0
600.000000 650.000000 625.000000 18 1.098124e+05 1.072386e-03 2.527639e-04 2.527639e-04 1.000000 0 0 0
650.000000 700.000000 675.000000 22 1.677689e+05 1.985962e-03 4.234085e-04 4.234085e-04 1.000000 0 0 0
700.000000 750.000000 725.000000 24 1.830206e+05 2.590270e-03 5.287366e-04 5.287366e-04 1.000000 0 0 0
