# bin_low_uJy bin_high_uJy bin_median_uJy Ns_tot_obs dnds_srm1Jym1 dnds_eucl_srm1Jy1p5 delta_dnds_eucl_lower_srm1Jy1p5 delta_dnds_eucl_upper_srm1Jy1p5 corr Ncgts_degm2 dNcgts_lower_degm2 dNcgts_upper_degm2
-1056.000000 -750.000000 -903.000000 8 1.097246e+04 nan nan nan 1.000000 5 2 2
-750.000000 -500.000000 -625.000000 34 5.723603e+04 nan nan nan 1.000000 5 2 2
-500.000000 -400.000000 -450.000000 117 3.568902e+05 nan nan nan 1.000000 5 2 2
-400.000000 -350.000000 -375.000000 193 1.177433e+06 nan nan nan 1.000000 5 2 2
-350.000000 -300.000000 -325.000000 427 3.256242e+06 nan nan nan 1.000000 5 2 2
-300.000000 -250.000000 -275.000000 846 6.451476e+06 nan nan nan 1.000000 5 2 2
-250.000000 -200.000000 -225.000000 1526 1.293007e+07 nan nan nan 1.000000 5 2 2
-200.000000 -170.000000 -185.000000 1377 1.615509e+07 nan nan nan 1.000000 5 2 2
-170.000000 -150.000000 -160.000000 1164 1.972555e+07 nan nan nan 1.000000 5 2 2
-150.000000 -130.000000 -140.000000 1335 2.714806e+07 nan nan nan 1.000000 5 2 2
-130.000000 -115.000000 -122.500000 1130 2.651452e+07 nan nan nan 1.000000 5 2 2
-115.000000 -100.000000 -107.500000 1270 3.228280e+07 nan nan nan 1.000000 4 2 2
-100.000000 -85.000000 -92.500000 1322 3.360462e+07 nan nan nan 1.000000 4 2 2
-85.000000 -70.000000 -77.500000 1466 4.065276e+07 nan nan nan 1.000000 4 2 2
-70.000000 -60.000000 -65.000000 1120 3.795983e+07 nan nan nan 1.000000 4 2 2
-60.000000 -50.000000 -55.000000 1067 4.068396e+07 nan nan nan 1.000000 4 2 2
-50.000000 -40.000000 -45.000000 1175 4.480192e+07 nan nan nan 1.000000 4 2 2
-40.000000 -30.000000 -35.000000 1129 3.443838e+07 nan nan nan 1.000000 4 2 2
-30.000000 -10.000000 -20.000000 2296 5.885369e+07 nan nan nan 1.000000 3 2 2
-10.000000 -0.500000 -5.250000 1204 4.590767e+07 nan nan nan 1.000000 3 2 2
-0.500000 0.500000 0.000000 143 1.038569e+07 0.000000e+00 0.000000e+00 0.000000e+00 1.000000 3 2 2
0.500000 10.000000 5.250000 1175 5.973589e+07 3.772538e-06 1.100562e-07 1.100562e-07 1.000000 3 2 2
10.000000 20.000000 15.000000 1254 4.841938e+07 4.219367e-05 1.191512e-06 1.191512e-06 1.000000 3 2 2
20.000000 30.000000 25.000000 1244 4.743284e+07 1.482276e-04 4.202609e-06 4.202609e-06 1.000000 3 2 2
30.000000 40.000000 35.000000 1214 4.628896e+07 3.354653e-04 9.628047e-06 9.628047e-06 1.000000 3 2 2
40.000000 50.000000 45.000000 1208 4.606019e+07 6.256868e-04 1.800211e-05 1.800211e-05 1.000000 2 2 2
50.000000 60.000000 55.000000 1231 4.693716e+07 1.052988e-03 3.001197e-05 3.001197e-05 1.000000 2 2 2
60.000000 70.000000 65.000000 1179 4.495444e+07 1.531285e-03 4.459632e-05 4.459632e-05 1.000000 2 1 1
70.000000 80.000000 75.000000 1136 4.331488e+07 2.110038e-03 6.260386e-05 6.260386e-05 1.000000 2 1 1
80.000000 90.000000 85.000000 1103 4.205661e+07 2.801442e-03 8.435170e-05 8.435170e-05 1.000000 2 1 1
90.000000 100.000000 95.000000 1047 3.992137e+07 3.511676e-03 1.085278e-04 1.085278e-04 1.000000 2 1 1
100.000000 110.000000 105.000000 1026 3.912066e+07 4.419563e-03 1.379767e-04 1.379767e-04 1.000000 2 1 1
110.000000 120.000000 115.000000 987 3.345210e+07 4.744255e-03 1.510113e-04 1.510113e-04 1.000000 2 1 1
120.000000 135.000000 127.500000 1405 3.896121e+07 7.151676e-03 1.907962e-04 1.907962e-04 1.000000 1 1 1
135.000000 150.000000 142.500000 1350 3.431636e+07 8.318374e-03 2.263975e-04 2.263975e-04 1.000000 1 1 1
150.000000 165.000000 157.500000 1245 3.164731e+07 9.852314e-03 2.792245e-04 2.792245e-04 1.000000 1 1 1
165.000000 180.000000 172.500000 1082 2.750393e+07 1.074899e-02 3.267788e-04 3.267788e-04 1.000000 1 1 1
180.000000 195.000000 187.500000 918 2.333513e+07 1.123346e-02 3.707593e-04 3.707593e-04 1.000000 1 1 1
195.000000 210.000000 202.500000 880 2.236919e+07 1.305307e-02 4.400190e-04 4.400190e-04 1.000000 1 1 1
210.000000 225.000000 217.500000 734 1.865793e+07 1.301702e-02 4.804671e-04 4.804671e-04 1.000000 1 1 1
225.000000 240.000000 232.500000 653 1.532211e+07 1.262920e-02 4.942189e-04 4.942189e-04 1.000000 1 1 1
240.000000 260.000000 250.000000 718 1.460098e+07 1.442886e-02 5.384802e-04 5.384802e-04 1.000000 0 1 1
260.000000 280.000000 270.000000 649 1.237296e+07 1.482118e-02 5.817823e-04 5.817823e-04 1.000000 0 1 1
280.000000 300.000000 290.000000 472 7.998678e+06 1.145548e-02 5.272811e-04 5.272811e-04 1.000000 0 1 1
300.000000 330.000000 315.000000 534 7.404016e+06 1.303898e-02 5.642520e-04 5.642520e-04 1.000000 0 0 0
330.000000 360.000000 345.000000 399 4.681104e+06 1.034894e-02 5.180952e-04 5.180952e-04 1.000000 0 0 0
360.000000 400.000000 380.000000 331 3.155199e+06 8.881488e-03 4.881708e-04 4.881708e-04 1.000000 0 0 0
400.000000 450.000000 425.000000 265 2.127213e+06 7.921061e-03 4.865869e-04 4.865869e-04 1.000000 0 0 0
450.000000 500.000000 475.000000 131 7.991900e+05 3.929923e-03 3.433590e-04 3.433590e-04 1.000000 0 0 0
500.000000 600.000000 550.000000 137 6.964951e+05 4.941113e-03 4.221478e-04 4.221478e-04 1.000000 0 0 0
600.000000 650.000000 625.000000 42 2.562289e+05 2.502235e-03 3.861032e-04 3.861032e-04 1.000000 0 0 0
650.000000 700.000000 675.000000 43 3.279119e+05 3.881652e-03 5.919464e-04 5.919464e-04 1.000000 0 0 0
700.000000 750.000000 725.000000 26 1.982723e+05 2.806126e-03 5.503265e-04 5.503265e-04 1.000000 0 0 0
